# Time (month),SOLIN (W/m2),TS (K),FSNSC (W/m2),FLUT (W/m2),FSNS (W/m2),FLNS (W/m2),FLNTC (W/m2),FSNTC (W/m2),FLNT (W/m2),FLUTC (W/m2),FSNT (W/m2)
7.400000000000000000e+01,3.438926921644825256e+02,2.890475384284117126e+02,2.210407100887081526e+02,2.352361957627472293e+02,1.688629708264699900e+02,5.159758267306610691e+01,2.552327239155798395e+02,2.919281279475540032e+02,2.337907525239290862e+02,2.566781670566681441e+02,2.441130824129510586e+02
7.500000000000000000e+01,3.380461108871218130e+02,2.902351471994824692e+02,2.139395469803222625e+02,2.365311133020254601e+02,1.659174509872911187e+02,5.249635460371288787e+01,2.568332061897830840e+02,2.849834320727422892e+02,2.351106907609184873e+02,2.582536289007296659e+02,2.409052974824210196e+02
7.600000000000000000e+01,3.329646889944767167e+02,2.912288215691069126e+02,2.090776612059917170e+02,2.375187100799947757e+02,1.620810630439248143e+02,5.275313554854816545e+01,2.584212915992434887e+02,2.799965824843002906e+02,2.361169955192052328e+02,2.598230061554365307e+02,2.367763773317590221e+02
7.700000000000000000e+01,3.298736233107106273e+02,2.919496781391845843e+02,2.073794928049861994e+02,2.403244706713427661e+02,1.591127652669326267e+02,5.225745818191899161e+01,2.606687883684513736e+02,2.796130164331072478e+02,2.389296855742694845e+02,2.620635733307511828e+02,2.351539556043537686e+02
7.800000000000000000e+01,3.294832371646313618e+02,2.923131812206279392e+02,2.087715179542460646e+02,2.412863846351662573e+02,1.589399924689102761e+02,5.132824052834246942e+01,2.614136525923229897e+02,2.818392741503159868e+02,2.398872394802231156e+02,2.628127976095114491e+02,2.357221155592354194e+02
7.900000000000000000e+01,3.319162397577518959e+02,2.920194643546086013e+02,2.119267344021293979e+02,2.416667906059255699e+02,1.606076351251356584e+02,5.062613326774689426e+01,2.612649714849289353e+02,2.845498723495089166e+02,2.402609699585610201e+02,2.626707920574702371e+02,2.370497883079120527e+02
8.000000000000000000e+01,3.365665217557847768e+02,2.914007454991112809e+02,2.153847527706290350e+02,2.407112323339668762e+02,1.640514719427745831e+02,5.113896853557120181e+01,2.596358910636820383e+02,2.874747818556683114e+02,2.392946905209524857e+02,2.610524328536001804e+02,2.402867088943742715e+02
8.100000000000000000e+01,3.423565764034953531e+02,2.903722946553070869e+02,2.191204972157483439e+02,2.377471458415000427e+02,1.666469174724885534e+02,5.136333471090489411e+01,2.572626096432323379e+02,2.898745619312699091e+02,2.363140466945720846e+02,2.586957087991099797e+02,2.419875544904909930e+02
8.200000000000000000e+01,3.477552318303930861e+02,2.895861508819099299e+02,2.209858233699664822e+02,2.359541353329578897e+02,1.664953467135308927e+02,5.107357898245316363e+01,2.557968728002806529e+02,2.914755239089356564e+02,2.344989307071720930e+02,2.572520775652495786e+02,2.420610706259707001e+02
8.300000000000000000e+01,3.511677614972420542e+02,2.888784832117672181e+02,2.235400118739542847e+02,2.356897222968418646e+02,1.684753730293676597e+02,5.043869496762683724e+01,2.551968075860384033e+02,2.945263967953346196e+02,2.342106511062256686e+02,2.566758787733188569e+02,2.445190005353996412e+02
